,MSE,Weighted MSE,Chi2,AVGSTD,anomaly,True_class
21858,21.967482288234084,27.65333733945008,1300.8965673602354,0.8827043923566926,19.75654656255659,1
21859,46.78027019512082,56.8899164196183,2652.9564519015134,0.9205886834072616,46.20387100657039,1
21860,47.656942390129764,226.39296139858973,5364.804126079649,0.9186473573153874,24.82491880985212,1
21861,1.0158957806813533,1.6629233706328552,65.7592501467867,0.9031215450673733,0.8937398574221728,0
21862,49.27078868751395,64.53568226514946,2952.8132382774706,0.936301422568987,44.57057354599419,1
21863,1.479668973248052,1.9710857944419715,88.21859153344379,0.9204380073637333,1.3892358561107536,0
21864,12.695406228964346,18.519704635160362,810.5698069647165,0.9492921548069648,10.603472005590172,1
21865,49.5929706782206,223.66494594562303,5552.270032677207,0.904123807290815,24.003271003853218,1
21866,39.628503106961354,188.84715417530677,4566.233192161082,0.8757028236704053,18.545677047713678,1
21867,0.8647622083081726,1.1239576247539684,50.44935374163615,0.964798869951716,0.844210649090063,0
21868,1.7522048221598523,2.2285655693897963,101.27044159205758,0.9268121483191004,1.7124529321435131,0
21869,0.7353663152852004,1.205776539681172,47.90473921545331,0.9088982141242837,0.6471943540669703,0
21870,2.9122125973435664,3.7554035206872483,173.36284839078445,0.9291624977903546,2.6479542727094354,1
21871,1.2197175233218063,1.70911444967144,74.00951898810993,0.942733440759047,1.1290707243901772,0
21872,0.8869018433799479,1.0078326737802943,49.134571141264956,0.9413635415850945,0.8832550035848762,0
21873,1.58650056252352,2.5137492409175066,104.27766337553179,0.8624575492346062,1.3167278309036667,1
21874,1.6333830750868843,2.000290582400119,94.07734429472137,0.9623337579223344,1.5596966674454316,0
21875,723.2581435299185,1248.5073050709852,47100.65973701765,0.9150817917203004,656.688462621431,1
21876,0.648434549219836,0.8174597234605374,37.752741263978685,0.933528795557202,0.613583915347977,0
21877,60.258132292972235,79.20853320549398,3583.992147287603,0.9330318052813692,55.55968963702939,1
21878,7.924763858413137,8.606579731913683,435.5294826632887,0.9345433841336448,7.696051279278452,1
21879,2.4653590814476574,5.946296434589645,200.31167786142538,0.9234454716151616,1.670465768104447,1
21880,2.7238540666436983,2.923766306715719,146.06650163479392,0.875383770128466,2.811509868308844,1
21881,0.9187349907542489,1.4035210312004884,58.28546717426992,0.9067158558458652,0.8188308683228104,0
21882,0.6054226954784908,0.8253488354847637,36.23550350334123,0.9481733137706541,0.5718243939140635,0
21883,61.46016763356022,80.06174037946796,3716.660307931837,0.9240705404641494,53.9008646036575,1
21884,1.0782557463849822,1.6575123546828556,68.83580306973747,0.891327645418779,0.9487698703007478,0
21885,1.1620005777538194,1.8940460380154878,74.78417257388041,0.878874567319762,1.0351108609180297,0
21886,30.62043736585763,35.748490507315054,1740.6324619619832,0.9629634483805243,29.105096612014588,1
21887,57.43753590970523,105.07193705420468,4068.0435894679504,0.9035140534616867,44.41357476311598,1
21888,1.5517995806018157,1.9621921671898588,90.12936399805889,0.9324790756657438,1.48200552457183,0
21889,16.269221573576676,16.630878014695263,868.8146991949718,0.907885176955529,16.227455530479766,1
21890,105.26541726132757,149.14156519995018,6399.348343760899,0.9239045583976889,98.76925688833342,1
21891,98.88047457069729,158.0506644088523,6436.1110747528965,0.8874759606595309,83.89014525364927,1
21892,32.30768035011342,19.682534735015757,1320.921203327112,0.9290209851174984,42.43987712054688,1
21893,64.45051293943429,68.03546202926255,3503.1693696103907,0.8903031202982057,63.01698689479182,1
21894,1.0454365414062599,1.4040355676655176,62.70584896516803,0.9022121800566619,0.9650485852740578,0
21895,37.3963236930504,43.71510116440085,2137.53286009393,0.9043324280459926,34.796065107426344,1
21896,992.8390053499601,1025.9358129730506,52699.93044553505,0.9442063508168707,1016.7659750289378,1
21897,408.910101452305,510.5893835371651,23714.47002953674,0.9200238304318122,388.43208067704217,1
21898,0.8503526469873759,1.2054427557650589,52.31698557604952,0.8970169852364738,0.7698212475072722,0
21899,1.3509154483022952,2.046487000391924,84.76467714829153,0.9152242979913388,1.2140967472646635,0
21900,939.0070713814541,1035.8123725631858,51511.0961504036,0.946727527200051,926.2883539171075,1
21901,1.446601676277175,2.2877544076996985,94.47322378992683,0.913940818242307,1.237240086433158,0
21902,67.20505880075872,82.43937275880455,3918.648296995215,0.9012775741658121,61.42271631020873,1
21903,1.0919875418346157,1.5853368360797395,66.88891307424187,0.9076616870907118,1.0178457672958943,0
21904,1.1061854170733274,1.8687406527061046,73.47455726946076,0.9243142773520272,0.9593107546061117,0
21905,1.5095059625192888,1.943498234497363,88.51716761076528,0.9492470520847248,1.4263536886900996,0
21906,30.728962608666865,60.72771985314475,2260.134801894544,0.9179973321140937,22.92701125326781,1
21907,0.8421167133615427,1.1078519224005803,49.07733543326693,0.9406933407738524,0.8282771670895618,0
21908,0.7284429275605251,0.970660548231978,43.57058837698091,0.9097959230530936,0.674921705184964,0
21909,1.0378619670303773,1.4599240588934081,62.02590402577808,0.9178748828060223,0.9946967870863314,0
21910,6.255050119100179,9.761638957998345,410.98573861794347,0.9449523962893576,5.127610072717362,1
21911,5.333859835318597,10.082957390048781,386.5081513079495,0.9203973142605908,3.9694593930385023,1
21912,40.4928811033688,36.01734180333948,1985.4099846203833,0.9488124217627183,45.02372594439724,1
21913,0.9757172575720052,1.2622170019206973,57.4141146982221,0.9284743486710314,0.9208066237309042,0
21914,1.27369105005961,2.041483077037321,83.18758748955645,0.8805162946008286,1.0904150774597663,0
21915,0.8299085319918855,1.121429382805264,49.394308392367584,0.9337143515640834,0.784924028287809,0
21916,0.9893659439303901,1.635841691186314,64.67691837127522,0.8960242721269716,0.8597694698067105,0
21917,1.0871073645916909,1.4901783447743397,64.80561237580184,0.918025516114145,1.039785372995638,0
21918,1.2835204811658447,1.9458310631070062,81.61772670131415,0.902202697295063,1.1204544997056214,0
21919,1.0158197378917182,1.465299071823128,62.72730774795954,0.9351024655800946,0.9223871059123537,0
21920,5.529700704218282,7.429345661312492,332.6241357712227,0.9492510652767038,5.029384119283411,1
21921,0.6808084197883374,0.9657092035444813,42.296980744161466,0.9090731380120763,0.598429592600973,0
21922,0.6308431025648679,0.982555838342372,40.26102097630327,0.9119657806630405,0.556834400719377,0
21923,1.3557878625772986,1.8572702492418438,81.44305560407662,0.902836005642729,1.2653374753064142,0
21924,4.780402627742039,4.783636928666533,252.11285668377877,0.9048093647327063,4.8385356503772305,1
